Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;40;150;0.057800;0.057800
uniform_1_100;40;155;0.057800;0.057800
uniform_1_100;40;160;0.057800;0.057800
uniform_1_100;40;165;0.057800;0.057800
uniform_1_100;40;170;0.057800;0.057800
uniform_1_100;40;175;0.057800;0.057800
uniform_1_100;40;180;0.057800;0.057800
uniform_1_100;40;185;0.057800;0.057800
uniform_1_100;40;190;0.057800;0.057800
uniform_1_100;40;195;0.057800;0.057800
uniform_1_100;40;200;0.057800;0.057800
uniform_1_100;40;205;0.057800;0.057800
uniform_1_100;40;210;0.057800;0.057800
uniform_1_100;40;215;0.057800;0.057800
uniform_1_100;40;220;0.057800;0.057800
uniform_1_100;40;225;0.057800;0.057800
uniform_1_100;40;230;0.057800;0.057800
uniform_1_100;40;235;0.057800;0.057800
uniform_1_100;40;240;0.057800;0.057800
uniform_1_100;40;245;0.057800;0.057800
uniform_1_100;40;250;0.057800;0.057800
uniform_1_100;40;255;0.057800;0.057800
uniform_1_100;40;260;0.057800;0.057800
uniform_1_100;40;265;0.057800;0.057800
uniform_1_100;40;270;0.057800;0.057800
uniform_1_100;40;275;0.057800;0.057800
uniform_1_100;40;280;0.057800;0.057800
