Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
exp;45;375;0.039740;0.039740
exp;45;380;0.039740;0.039740
exp;45;385;0.039740;0.039740
exp;45;390;0.039740;0.039740
exp;45;395;0.039740;0.039740
exp;45;400;0.039740;0.039740
exp;50;5;0.441470;0.100640
exp;50;10;0.404720;0.094760
exp;50;15;0.366720;0.088680
exp;50;20;0.334720;0.083560
exp;50;25;0.305220;0.078840
exp;50;30;0.278220;0.074520
exp;50;35;0.257470;0.071200
exp;50;40;0.237220;0.067960
exp;50;45;0.217720;0.064840
exp;50;50;0.199470;0.061920
exp;50;55;0.184720;0.059560
exp;50;60;0.169470;0.057120
exp;50;65;0.159470;0.055520
exp;50;70;0.151970;0.054320
exp;50;75;0.142970;0.052880
exp;50;80;0.131470;0.051040
exp;50;85;0.123220;0.049720
exp;50;90;0.115970;0.048560
exp;50;95;0.108720;0.047400
exp;50;100;0.100220;0.046040
exp;50;105;0.093720;0.045000
exp;50;110;0.089970;0.044400
exp;50;115;0.086220;0.043800
exp;50;120;0.082970;0.043280
exp;50;125;0.077970;0.042480
exp;50;130;0.072470;0.041600
exp;50;135;0.068470;0.040960
exp;50;140;0.064970;0.040400
exp;50;145;0.064220;0.040280
exp;50;150;0.063220;0.040120
exp;50;155;0.061470;0.039840
exp;50;160;0.059470;0.039520
exp;50;165;0.056970;0.039120
exp;50;170;0.054220;0.038680
exp;50;175;0.052720;0.038440
exp;50;180;0.051470;0.038240
exp;50;185;0.050720;0.038120
exp;50;190;0.049720;0.037960
exp;50;195;0.048720;0.037800
exp;50;200;0.047720;0.037640
exp;50;205;0.045970;0.037360
exp;50;210;0.045220;0.037240
exp;50;215;0.044470;0.037120
exp;50;220;0.043970;0.037040
exp;50;225;0.043220;0.036920
exp;50;230;0.041470;0.036640
exp;50;235;0.041220;0.036600
exp;50;240;0.040970;0.036560
exp;50;245;0.039970;0.036400
exp;50;250;0.039720;0.036360
exp;50;255;0.039720;0.036360
exp;50;260;0.038720;0.036200
exp;50;265;0.037970;0.036080
exp;50;270;0.037220;0.035960
exp;50;275;0.036970;0.035920
exp;50;280;0.036720;0.035880
exp;50;285;0.036720;0.035880
exp;50;290;0.036720;0.035880
exp;50;295;0.036720;0.035880
exp;50;300;0.036720;0.035880
exp;50;305;0.036470;0.035840
exp;50;310;0.036470;0.035840
exp;50;315;0.036220;0.035800
exp;50;320;0.036220;0.035800
exp;50;325;0.036220;0.035800
exp;50;330;0.035970;0.035760
exp;50;335;0.035970;0.035760
exp;50;340;0.035970;0.035760
exp;50;345;0.035970;0.035760
exp;50;350;0.035970;0.035760
exp;50;355;0.035970;0.035760
exp;50;360;0.035720;0.035720
exp;50;365;0.035720;0.035720
exp;50;370;0.035720;0.035720
exp;50;375;0.035720;0.035720
exp;50;380;0.035720;0.035720
exp;50;385;0.035720;0.035720
