Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian;60;25;-25.0
gaussian;60;30;-22.5
gaussian;60;35;-19.8
gaussian;60;40;-17.1
gaussian;60;45;-14.2
gaussian;60;50;-12.0
gaussian;60;55;-9.8
gaussian;60;60;-8.1
gaussian;60;65;-6.7
gaussian;60;70;-5.7
gaussian;60;75;-5.2
gaussian;60;80;-4.7
gaussian;60;85;-4.4
gaussian;60;90;-4.3
gaussian;60;95;-4.3
gaussian;60;100;-4.2
gaussian;60;105;-4.2
gaussian;60;110;-4.2
gaussian;60;115;-4.2
gaussian;60;120;-4.2
gaussian;60;125;-4.2
gaussian;60;130;-4.2
gaussian;60;135;-4.2
gaussian;60;140;-4.2
gaussian;60;145;-4.2
gaussian;60;150;-4.2
gaussian;60;155;-4.2
gaussian;60;160;-4.2
gaussian;60;165;-4.2
gaussian;60;170;-4.2
gaussian;60;175;-4.2
gaussian;60;180;-4.2
gaussian;60;185;-4.2
gaussian;60;190;-4.2
gaussian;60;195;-4.2
gaussian;60;200;-4.2
gaussian;60;205;-4.2
gaussian;60;210;-4.2
gaussian;60;215;-4.2
gaussian;60;220;-4.2
gaussian;60;225;-4.2
gaussian;60;230;-4.2
gaussian;60;235;-4.2
gaussian;60;240;-4.2
gaussian;60;245;-4.2
gaussian;60;250;-4.2
gaussian;60;255;-4.2
gaussian;60;260;-4.2
gaussian;60;265;-4.2
gaussian;60;270;-4.2
gaussian;60;275;-4.2
gaussian;60;280;-4.2
gaussian;60;285;-4.2
gaussian;60;290;-4.2
gaussian;60;295;-4.2
gaussian;60;300;-4.2
gaussian;60;305;-4.2
gaussian;60;310;-4.2
gaussian;60;315;-4.2
gaussian;60;320;-4.2
gaussian;60;325;-4.2
gaussian;60;330;-4.2
gaussian;60;335;-4.2
gaussian;60;340;-4.2
gaussian;60;345;-4.2
gaussian;60;350;-4.2
gaussian;60;355;-4.2
gaussian;60;360;-4.2
gaussian;60;365;-4.2
gaussian;60;370;-4.2
gaussian;60;375;-4.2
gaussian;60;380;-4.2
gaussian;60;385;-4.2
gaussian;60;390;-4.2
gaussian;60;395;-4.2
gaussian;60;400;-4.2
gaussian;65;5;-30.6
gaussian;65;10;-29.6
gaussian;65;15;-28.1
gaussian;65;20;-26.0
gaussian;65;25;-23.5
gaussian;65;30;-20.8
gaussian;65;35;-18.0
gaussian;65;40;-15.2
gaussian;65;45;-12.9
gaussian;65;50;-10.7
gaussian;65;55;-9.0
gaussian;65;60;-7.6
gaussian;65;65;-6.7
gaussian;65;70;-6.1
gaussian;65;75;-5.6
gaussian;65;80;-5.4
gaussian;65;85;-5.2
gaussian;65;90;-5.2
gaussian;65;95;-5.2
gaussian;65;100;-5.2
gaussian;65;105;-5.2
gaussian;65;110;-5.1
gaussian;65;115;-5.1
gaussian;65;120;-5.1
gaussian;65;125;-5.1
gaussian;65;130;-5.1
gaussian;65;135;-5.1
gaussian;65;140;-5.1
gaussian;65;145;-5.1
gaussian;65;150;-5.1
gaussian;65;155;-5.1
gaussian;65;160;-5.1
gaussian;65;165;-5.1
gaussian;65;170;-5.1
gaussian;65;175;-5.1
gaussian;65;180;-5.1
gaussian;65;185;-5.1
gaussian;65;190;-5.1
gaussian;65;195;-5.1
gaussian;65;200;-5.1
gaussian;65;205;-5.1
gaussian;65;210;-5.1
gaussian;65;215;-5.1
gaussian;65;220;-5.1
gaussian;65;225;-5.1
gaussian;65;230;-5.1
gaussian;65;235;-5.1
