Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;60;295;0.5
trimodal;60;300;0.5
trimodal;60;305;0.5
trimodal;60;310;0.5
trimodal;60;315;0.5
trimodal;60;320;0.5
trimodal;60;325;0.5
trimodal;60;330;0.5
trimodal;60;335;0.5
trimodal;60;340;0.5
trimodal;60;345;0.5
trimodal;60;350;0.5
trimodal;60;355;0.5
trimodal;60;360;0.5
trimodal;60;365;0.5
trimodal;60;370;0.5
trimodal;60;375;0.5
trimodal;60;380;0.5
trimodal;60;385;0.5
trimodal;60;390;0.5
trimodal;60;395;0.5
trimodal;60;400;0.5
trimodal;65;5;-17.8
trimodal;65;10;-17.7
trimodal;65;15;-17.6
trimodal;65;20;-17.0
trimodal;65;25;-16.0
trimodal;65;30;-14.6
trimodal;65;35;-12.7
trimodal;65;40;-11.1
trimodal;65;45;-10.0
trimodal;65;50;-9.4
trimodal;65;55;-9.2
trimodal;65;60;-9.1
trimodal;65;65;-8.8
trimodal;65;70;-8.3
trimodal;65;75;-7.4
trimodal;65;80;-5.9
trimodal;65;85;-3.9
trimodal;65;90;-2.3
trimodal;65;95;-1.1
trimodal;65;100;-0.4
trimodal;65;105;-0.1
trimodal;65;110;-0.0
trimodal;65;115;0.0
trimodal;65;120;0.0
trimodal;65;125;0.0
trimodal;65;130;0.0
trimodal;65;135;0.0
trimodal;65;140;0.0
trimodal;65;145;0.0
trimodal;65;150;0.0
trimodal;65;155;0.0
trimodal;65;160;0.0
trimodal;65;165;0.0
trimodal;65;170;0.0
trimodal;65;175;0.0
trimodal;65;180;0.0
trimodal;65;185;0.0
trimodal;65;190;0.0
trimodal;65;195;0.0
trimodal;65;200;0.0
trimodal;65;205;0.0
trimodal;65;210;0.0
trimodal;65;215;0.0
trimodal;65;220;0.0
trimodal;65;225;0.0
trimodal;65;230;0.0
trimodal;65;235;0.0
trimodal;65;240;0.0
trimodal;65;245;0.0
trimodal;65;250;0.0
trimodal;65;255;0.0
trimodal;65;260;0.0
trimodal;65;265;0.0
trimodal;65;270;0.0
trimodal;65;275;0.0
trimodal;65;280;0.0
trimodal;65;285;0.0
trimodal;65;290;0.0
trimodal;65;295;0.0
trimodal;65;300;0.0
trimodal;65;305;0.0
trimodal;65;310;0.0
trimodal;65;315;0.0
trimodal;65;320;0.0
