Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;35;85;31.2
gaussian_400_25;35;90;31.1
gaussian_400_25;35;95;31.0
gaussian_400_25;35;100;30.9
gaussian_400_25;35;105;30.8
gaussian_400_25;35;110;30.7
gaussian_400_25;35;115;30.7
gaussian_400_25;35;120;30.6
gaussian_400_25;35;125;30.5
gaussian_400_25;35;130;30.4
gaussian_400_25;35;135;30.3
gaussian_400_25;35;140;30.2
gaussian_400_25;35;145;30.1
gaussian_400_25;35;150;30.0
gaussian_400_25;35;155;29.9
gaussian_400_25;35;160;29.8
gaussian_400_25;35;165;29.7
gaussian_400_25;35;170;29.6
gaussian_400_25;35;175;29.5
gaussian_400_25;35;180;29.4
gaussian_400_25;35;185;29.3
gaussian_400_25;35;190;29.2
gaussian_400_25;35;195;29.1
gaussian_400_25;35;200;29.0
gaussian_400_25;35;205;28.9
gaussian_400_25;35;210;28.8
gaussian_400_25;35;215;28.7
gaussian_400_25;35;220;28.6
gaussian_400_25;35;225;28.5
gaussian_400_25;35;230;28.4
gaussian_400_25;35;235;28.3
gaussian_400_25;35;240;28.2
gaussian_400_25;35;245;28.1
gaussian_400_25;35;250;28.1
gaussian_400_25;35;255;28.0
gaussian_400_25;35;260;27.9
gaussian_400_25;35;265;27.8
gaussian_400_25;35;270;27.7
gaussian_400_25;35;275;27.6
gaussian_400_25;35;280;27.5
gaussian_400_25;35;285;27.4
gaussian_400_25;35;290;27.3
gaussian_400_25;35;295;27.2
gaussian_400_25;35;300;27.2
gaussian_400_25;35;305;27.1
gaussian_400_25;35;310;27.1
gaussian_400_25;35;315;27.2
gaussian_400_25;35;320;27.4
gaussian_400_25;35;325;27.6
gaussian_400_25;35;330;28.0
gaussian_400_25;35;335;28.5
gaussian_400_25;35;340;29.1
gaussian_400_25;35;345;29.9
gaussian_400_25;35;350;30.9
gaussian_400_25;35;355;32.0
gaussian_400_25;35;360;33.2
gaussian_400_25;35;365;34.3
gaussian_400_25;35;370;35.5
gaussian_400_25;35;375;36.6
gaussian_400_25;35;380;37.7
gaussian_400_25;35;385;38.5
gaussian_400_25;35;390;39.3
gaussian_400_25;35;395;39.9
gaussian_400_25;35;400;40.4
gaussian_400_25;40;5;32.0
gaussian_400_25;40;10;31.9
gaussian_400_25;40;15;31.8
gaussian_400_25;40;20;31.7
gaussian_400_25;40;25;31.6
gaussian_400_25;40;30;31.5
gaussian_400_25;40;35;31.4
gaussian_400_25;40;40;31.3
gaussian_400_25;40;45;31.2
gaussian_400_25;40;50;31.1
gaussian_400_25;40;55;31.0
gaussian_400_25;40;60;30.9
gaussian_400_25;40;65;30.8
gaussian_400_25;40;70;30.7
gaussian_400_25;40;75;30.7
gaussian_400_25;40;80;30.6
gaussian_400_25;40;85;30.5
gaussian_400_25;40;90;30.4
gaussian_400_25;40;95;30.3
gaussian_400_25;40;100;30.2
gaussian_400_25;40;105;30.1
gaussian_400_25;40;110;30.0
gaussian_400_25;40;115;29.9
gaussian_400_25;40;120;29.8
gaussian_400_25;40;125;29.7
gaussian_400_25;40;130;29.6
gaussian_400_25;40;135;29.5
gaussian_400_25;40;140;29.4
gaussian_400_25;40;145;29.3
gaussian_400_25;40;150;29.2
gaussian_400_25;40;155;29.1
gaussian_400_25;40;160;29.0
gaussian_400_25;40;165;28.9
gaussian_400_25;40;170;28.8
gaussian_400_25;40;175;28.7
gaussian_400_25;40;180;28.6
gaussian_400_25;40;185;28.5
gaussian_400_25;40;190;28.4
gaussian_400_25;40;195;28.3
gaussian_400_25;40;200;28.2
gaussian_400_25;40;205;28.1
gaussian_400_25;40;210;28.1
gaussian_400_25;40;215;28.0
gaussian_400_25;40;220;27.9
gaussian_400_25;40;225;27.8
gaussian_400_25;40;230;27.7
gaussian_400_25;40;235;27.6
gaussian_400_25;40;240;27.5
gaussian_400_25;40;245;27.4
gaussian_400_25;40;250;27.3
gaussian_400_25;40;255;27.2
gaussian_400_25;40;260;27.1
gaussian_400_25;40;265;27.0
gaussian_400_25;40;270;26.9
gaussian_400_25;40;275;26.8
gaussian_400_25;40;280;26.7
gaussian_400_25;40;285;26.6
gaussian_400_25;40;290;26.5
gaussian_400_25;40;295;26.5
gaussian_400_25;40;300;26.4
gaussian_400_25;40;305;26.5
gaussian_400_25;40;310;26.5
gaussian_400_25;40;315;26.7
gaussian_400_25;40;320;26.9
gaussian_400_25;40;325;27.3
gaussian_400_25;40;330;27.8
gaussian_400_25;40;335;28.4
gaussian_400_25;40;340;29.2
gaussian_400_25;40;345;30.3
gaussian_400_25;40;350;31.3
gaussian_400_25;40;355;32.6
gaussian_400_25;40;360;33.6
gaussian_400_25;40;365;34.8
gaussian_400_25;40;370;36.0
gaussian_400_25;40;375;37.0
gaussian_400_25;40;380;37.8
gaussian_400_25;40;385;38.6
gaussian_400_25;40;390;39.3
gaussian_400_25;40;395;39.7
gaussian_400_25;40;400;40.1
gaussian_400_25;45;5;31.2
gaussian_400_25;45;10;31.1
gaussian_400_25;45;15;31.0
gaussian_400_25;45;20;30.9
gaussian_400_25;45;25;30.8
gaussian_400_25;45;30;30.7
